competition_id,category,dataset_size_GB,EnabledDate,DeadlineDate,Complexity
3d-object-detection-for-autonomous-vehicles,Image Segmentation  ,125.79,12/9/2019,12/11/2019,High
aerial-cactus-identification,Image Classification  ,0.0254,8/3/2019,8/7/2019,Low
AI4Code,Text Classification  ,2.16,11/5/2022,10/11/2022,Medium
alaska2-image-steganalysis,Image Classification  ,32.27,27/04/2020,21/07/2020,Medium
aptos2019-blindness-detection,Image Classification  ,10.22,6/28/2019,9/7/2019,Low
billion-word-imputation,Training LLMs  ,1.7,5/8/2014,5/1/2015,Medium
bms-molecular-translation,Image to Text  ,8.87,3/2/2021,6/3/2021,High
cassava-leaf-disease-classification,Image Classification  ,6.19,19/11/2020,18/02/2021,Medium
cdiscount-image-classification-challenge,Image Classification  ,78.12,9/14/2017,12/14/2017,Medium
chaii-hindi-and-tamil-question-answering,Training LLMs  ,0.032,11/8/2021,15/11/2021,Medium
champs-scalar-coupling,Tabular  ,1.22,5/29/2019,8/28/2019,Medium
denoising-dirty-documents,Image to Image  ,0.06,6/1/2015,10/5/2015,Low
detecting-insults-in-social-commentary,Text Classification  ,0.002,9/18/2012,9/21/2012,Low
dog-breed-identification,Image Classification  ,0.75,29/9/2017,26/2/2018,Low
dogs-vs-cats-redux-kernels-edition,Image Classification  ,0.85,9/2/2016,3/2/2017,Low
facebook-recruiting-iii-keyword-extraction,Text Classification  ,3.2,30/8/2013,20/12/2013,Medium
freesound-audio-tagging-2019,Audio Classification  ,26.15,4/4/2019,6/17/2019,Medium
google-quest-challenge,Training LLMs  ,0.015,22/11/2019,10/2/2020,Medium
google-research-identify-contrails-reduce-global-warming,Image Segmentation  ,450.91,5/10/2023,8/9/2023,High
h-and-m-personalized-fashion-recommendations,Tabular  ,34.56,2/7/2022,5/9/2022,Medium
herbarium-2020-fgvc7,Image Classification  ,63.16,9/3/2020,27/05/2020,Medium
herbarium-2021-fgvc8,Image Classification  ,161.9,3/10/2021,5/26/2021,Medium
herbarium-2022-fgvc9,Image Classification  ,163.17,2/14/2022,5/30/2022,Medium
histopathologic-cancer-detection,Image (Other)  ,7.76,11/16/2018,3/30/2019,Low
hms-harmful-brain-activity-classification,Image Classification  ,26.4,9/1/2024,8/4/2024,High
hotel-id-2021-fgvc8,Image Classification  ,26.65,3/10/2021,5/26/2021,Medium
hubmap-kidney-segmentation,Image Segmentation  ,32.97,11/16/2020,5/10/2021,Medium
icecube-neutrinos-in-deep-ice,Tabular  ,117.18,1/19/2023,4/19/2023,Medium
imet-2020-fgvc7,Image Classification  ,29.46,3/27/2020,5/28/2020,Medium
inaturalist-2019-fgvc6,Image Classification  ,87.76,3/29/2019,6/10/2019,Medium
iwildcam-2019-fgvc6,Image Classification  ,46.68,25/03/2019,7/6/2019,High
iwildcam-2020-fgvc7,Image Classification  ,118.59,3/9/2020,5/26/2020,Medium
jigsaw-toxic-comment-classification-challenge,Text Classification  ,0.06,12/19/2017,3/20/2018,Low
jigsaw-unintended-bias-in-toxicity-classification,Text Classification  ,2.4,29/3/2019,18/07/2019,Medium
kuzushiji-recognition,Image Classification  ,4.51,7/18/2019,10/14/2019,Medium
leaf-classification,Image Classification  ,0.036,30/07/2016,28/2/2017,Low
learning-agency-lab-automated-essay-scoring-2,Text Classification  ,0.036,2/4/2024,2/7/2024,Medium
lmsys-chatbot-arena,Text Classification  ,0.18,2/5/2024,5/8/2024,Medium
mlsp-2013-birds,Audio Classification  ,0.5851,6/17/2013,8/19/2013,Low
multi-modal-gesture-recognition,Image Segmentation  ,23.23,6/21/2013,8/25/2013,Medium
new-york-city-taxi-fare-prediction,Tabular  ,5.7,7/25/2018,9/25/2018,Low
nfl-player-contact-detection,Video Classification  ,5.01,12/5/2022,3/1/2023,High
nomad2018-predict-transparent-conductors,Tabular  ,0.00624,12/18/2017,2/15/2018,Low
osic-pulmonary-fibrosis-progression,Forecasting  ,23.99,7/7/2020,10/6/2020,Medium
petfinder-pawpularity-score,Image (Other)  ,1.04,9/23/2021,1/14/2022,Medium
plant-pathology-2020-fgvc7,Image Classification  ,0.8,3/9/2020,5/26/2020,Low
plant-pathology-2021-fgvc8,Image Classification  ,16.1,15/03/2021,27/05/2021,Medium
predict-volcanic-eruptions-ingv-oe,Signal Processing  ,31.25,10/12/2020,1/6/2021,High
random-acts-of-pizza,Text Classification  ,0.003,5/29/2014,6/1/2015,Low
ranzcr-clip-catheter-line-classification,Image Classification  ,13.13,12/14/2020,3/16/2021,Low
rsna-2022-cervical-spine-fracture-detection,Image Classification  ,343.51,7/28/2022,10/27/2022,High
rsna-breast-cancer-detection,Image Classification  ,314.72,11/28/2022,2/27/2023,High
rsna-miccai-brain-tumor-radiogenomic-classification,Image (Other)  ,135.85,7/13/2021,10/15/2021,High
seti-breakthrough-listen,Signal Processing  ,156.02,10/5/2021,19/08/2021,Medium
siim-covid19-detection,Object Detection  ,128.51,5/18/2021,8/9/2021,High
siim-isic-melanoma-classification,Image Classification  ,116.16,27/05/2020,18/08/2020,Low
smartphone-decimeter-2022,Tabular  ,22.9,5/2/2022,7/29/2022,High
spooky-author-identification,Text Classification  ,0.0019,10/25/2017,12/15/2017,Low
stanford-covid-vaccine,Tabular  ,2.68,9/11/2020,10/6/2020,High
statoil-iceberg-classifier-challenge,Image Classification  ,0.3021,10/23/2017,1/23/2018,Medium
